Date,Open,High,Low,Close,Adj Close,Volume
2003-01-21,48.95,50.5,48.95,49.2,49.2,931
2003-01-22,49.0,52.5,49.0,49.25,49.25,1301
2003-01-23,49.9,50.0,49.3,49.45,49.45,5355
2003-01-24,49.1,49.2,48.95,48.95,48.95,2001
2003-01-27,49.1,49.5,48.5,48.95,48.95,3020
2003-01-28,48.3,49.2,48.25,48.5,48.5,7355
2003-01-29,45.0,49.25,45.0,49.0,49.0,700
2003-01-30,48.3,49.3,48.25,48.3,48.3,1350
2003-01-31,49.9,49.9,48.45,48.5,48.5,800
2003-02-03,48.4,49.65,47.7,49.3,49.3,4300
2003-02-04,48.25,49.5,48.2,48.9,48.9,2776
2003-02-05,49.4,49.85,48.6,49.0,49.0,2161
2003-02-06,48.9,49.0,48.6,48.95,48.95,1640
2003-02-07,48.55,49.0,48.55,48.8,48.8,8978
2003-02-10,48.0,49.5,48.0,49.4,49.4,37183
2003-02-11,49.0,49.4,48.65,48.75,48.75,7063
2003-02-12,49.0,52.95,49.0,50.35,50.35,12369
2003-02-14,48.0,50.0,48.0,49.6,49.6,8503
2003-02-17,52.5,52.5,49.0,50.6,50.6,11977
2003-02-18,50.45,51.15,50.45,50.8,50.8,13793
2003-02-19,60.0,60.0,46.2,51.7,51.7,4675
2003-02-20,50.1,52.3,50.1,51.4,51.4,2959
2003-02-21,51.0,51.4,50.25,51.0,51.0,1136
2003-02-24,50.85,52.0,50.75,51.5,51.5,5199
2003-02-25,48.25,51.8,48.25,50.8,50.8,3806
2003-02-26,47.0,52.0,47.0,50.0,50.0,2481
2003-02-27,51.85,51.85,50.0,51.0,51.0,2525
2003-02-28,50.6,51.5,49.6,51.0,51.0,3542
2003-03-03,49.5,51.0,49.5,50.5,50.5,3077
2003-03-04,49.5,50.5,49.5,49.7,49.7,642
2003-03-05,49.75,50.1,49.0,49.3,49.3,2740
2003-03-06,49.5,50.5,48.95,49.15,49.15,7060
2003-03-07,48.75,49.0,48.5,48.7,48.7,5705
2003-03-10,48.3,50.0,48.2,48.5,48.5,4671
2003-03-11,48.0,49.2,48.0,48.7,48.7,1733
2003-03-12,49.0,49.0,48.5,48.8,48.8,1011
2003-03-13,48.3,49.8,47.5,47.9,47.9,7902
2003-03-17,48.0,49.0,47.8,48.85,48.85,1350
2003-03-19,48.2,49.0,48.2,48.85,48.85,1025
2003-03-20,49.0,49.05,48.5,49.05,49.05,825
2003-03-21,48.6,49.1,48.5,48.85,48.85,2172
2003-03-22,49.0,49.1,49.0,49.05,49.05,700
2003-03-24,48.6,48.6,48.6,48.6,48.6,100
2003-03-25,48.6,48.6,47.5,47.85,47.85,1784
2003-03-26,47.95,50.0,47.75,48.05,48.05,10470
2003-03-27,48.1,48.15,48.0,48.05,48.05,1396
2003-03-28,47.8,48.45,47.2,48.1,48.1,15057
2003-03-31,48.25,48.25,47.05,47.55,47.55,3836
2003-04-01,47.8,47.95,47.6,47.8,47.8,20750
2003-04-02,47.55,48.15,47.55,47.8,47.8,17128
2003-04-03,52.45,52.45,47.65,48.45,48.45,2820
2003-04-04,48.9,48.95,48.5,48.7,48.7,2300
2003-04-07,49.0,50.0,48.4,48.5,48.5,12010
2003-04-08,48.75,48.75,48.1,48.6,48.6,1530
2003-04-09,48.9,49.0,48.0,48.1,48.1,8270
2003-04-10,47.75,48.5,47.5,47.75,47.75,3900
2003-04-11,48.45,49.0,47.8,48.0,48.0,8520
2003-04-15,47.65,48.95,47.6,48.7,48.7,802
2003-04-16,48.0,49.0,48.0,48.95,48.95,3137
2003-04-17,50.0,50.0,48.25,48.95,48.95,3620
2003-04-21,47.55,49.5,47.55,49.35,49.35,2090
2003-04-22,48.5,48.5,48.35,48.5,48.5,12897
2003-04-23,49.0,49.0,48.55,48.75,48.75,1391
2003-04-24,48.95,50.95,48.95,50.05,50.05,3798
2003-04-25,51.0,51.0,49.6,50.2,50.2,6505
2003-04-28,52.1,52.1,50.0,50.25,50.25,1949
2003-04-29,50.25,50.85,50.0,50.25,50.25,1896
2003-04-30,51.8,51.8,49.8,50.55,50.55,1121
2003-05-02,53.75,53.75,50.0,51.4,51.4,5640
2003-05-05,51.5,54.9,51.5,54.5,54.5,14972
2003-05-06,54.0,54.75,52.6,52.75,52.75,5298
2003-05-07,53.0,54.3,52.05,53.0,53.0,11174
2003-05-08,53.85,54.25,53.2,53.55,53.55,8476
2003-05-09,53.5,57.5,53.5,56.45,56.45,59801
2003-05-12,56.0,57.5,55.0,57.15,57.15,40498
2003-05-13,52.5,57.1,52.5,56.85,56.85,11977
2003-05-14,57.0,57.0,54.0,56.1,56.1,10762
2003-05-15,58.0,58.0,56.3,56.4,56.4,7713
2003-05-16,57.0,57.2,53.5,53.5,53.5,6033
2003-05-19,53.55,54.5,53.0,53.0,53.0,9485
2003-05-20,53.0,53.0,52.35,52.55,52.55,6650
2003-05-21,52.5,54.4,52.5,54.3,54.3,33469
2003-05-22,51.0,55.8,51.0,55.0,55.0,9428
2003-05-23,57.5,57.7,55.7,57.2,57.2,14323
2003-05-26,56.3,57.45,56.3,57.4,57.4,16182
2003-05-27,56.6,57.9,56.5,56.9,56.9,9000
2003-05-28,57.0,59.0,56.55,57.65,57.65,10665
2003-05-29,57.5,58.5,57.5,58.05,58.05,5670
2003-05-30,58.0,60.85,58.0,60.25,60.25,16732
2003-06-02,62.0,62.0,61.0,61.85,61.85,13804
2003-06-03,61.05,62.0,59.25,59.5,59.5,11131
2003-06-04,59.5,59.7,58.5,59.3,59.3,1873
